Id Transaksi,Produk Yang Di Beli
1,"Telur, Beras"
2,"Minyak, Mie, Beras, Telur"
3,"Telur, Minyak, Beras, Gandum"
4,"Gandum, Mie, Minyak"
5,"Beras, Telur, Mie, Minyak"
6,"Telur, Beras, Minyak"
7,"Telur, Minyak, Gandum"
8,"Beras, Gandum"
9,"Telur, Beras, Minyak"
10,"Minyak, Mie"
11,"Beras, Telur, Mie"
12,"Telur, Minyak, Gandum"
13,"Beras, Gandum"
14,"Telur, Beras, Minyak, Mie"
15,"Minyak, Gandum"
16,"Telur, Beras"
17,"Minyak, Mie, Beras, Telur"
18,"Telur, Minyak, Beras, Gandum"
19,"Gandum, Mie, Minyak"
20,"Beras, Telur, Mie, Minyak"
21,"Telur, Beras, Minyak"
22,"Telur, Minyak"
23,"Beras, Mie"
24,"Telur, Beras, Minyak"
25,"Minyak, Mie, Gandum"
