No_Nota,Daftar_Belanjaan
T-001,"Kopi, Gorengan, Snack"
T-002,"Kopi, Gorengan"
T-003,"Kopi, Susu, Roti"
T-004,"Teh, Snack, Gorengan"
T-005,"Kopi, Gorengan, Air Mineral"
T-006,"Mie Instan, Telur, Teh"
T-007,"Kopi, Roti, Susu"
T-008,"Teh, Gorengan, Snack"
T-009,"Kopi, Gorengan, Roti"
T-010,"Air Mineral, Snack"
T-011,"Kopi, Gorengan, Snack"
T-012,"Teh, Roti, Susu"
T-013,"Kopi, Mie Instan, Telur"
T-014,"Kopi, Gorengan"
T-015,"Teh, Snack"
T-016,"Kopi, Gorengan, Air Mineral"
T-017,"Susu, Roti, Snack"
T-018,"Kopi, Gorengan, Teh"
T-019,"Mie Instan, Telur, Air Mineral"
T-020,"Kopi, Snack, Roti"
T-021,"Kopi, Gorengan"
T-022,"Teh, Gorengan, Snack"
T-023,"Kopi, Susu, Roti"
T-024,"Air Mineral, Snack, Gorengan"
T-025,"Kopi, Gorengan, Snack"
T-026,"Mie Instan, Telur"
T-027,"Teh, Roti, Susu"
T-028,"Kopi, Gorengan, Air Mineral"
T-029,"Kopi, Roti"
T-030,"Teh, Snack, Gorengan"
T-031,"Kopi, Gorengan, Snack"
T-032,"Susu, Roti"
T-033,"Mie Instan, Telur, Teh"
T-034,"Kopi, Gorengan"
T-035,"Air Mineral, Snack"
T-036,"Kopi, Gorengan, Roti"
T-037,"Teh, Gorengan, Snack"
T-038,"Kopi, Susu, Roti"
T-039,"Mie Instan, Telur, Air Mineral"
T-040,"Kopi, Gorengan, Snack"
T-041,"Teh, Roti"
T-042,"Kopi, Gorengan, Air Mineral"
T-043,"Susu, Snack, Roti"
T-044,"Kopi, Gorengan"
T-045,"Teh, Snack"
T-046,"Kopi, Gorengan, Snack"
T-047,"Mie Instan, Telur"
T-048,"Kopi, Susu, Roti"
T-049,"Teh, Gorengan, Snack"
T-050,"Kopi, Gorengan, Air Mineral"
T-051,"Kopi, Gorengan, Snack"
T-052,"Air Mineral, Snack"
T-053,"Teh, Roti, Susu"
T-054,"Kopi, Gorengan"
T-055,"Mie Instan, Telur, Teh"
T-056,"Kopi, Roti, Susu"
T-057,"Gorengan, Snack, Air Mineral"
T-058,"Kopi, Gorengan, Teh"
T-059,"Kopi, Snack, Roti"
T-060,"Teh, Gorengan, Snack"
T-061,"Kopi, Gorengan"
T-062,"Susu, Roti"
T-063,"Mie Instan, Telur, Air Mineral"
T-064,"Kopi, Gorengan, Snack"
T-065,"Teh, Snack"
T-066,"Kopi, Gorengan, Air Mineral"
T-067,"Kopi, Susu, Roti"
T-068,"Teh, Gorengan, Snack"
T-069,"Mie Instan, Telur"
T-070,"Kopi, Gorengan, Roti"
T-071,"Kopi, Gorengan, Snack"
T-072,"Air Mineral, Snack"
T-073,"Teh, Roti, Susu"
T-074,"Kopi, Gorengan"
T-075,"Mie Instan, Telur, Teh"
T-076,"Kopi, Snack, Roti"
T-077,"Gorengan, Air Mineral, Snack"
T-078,"Kopi, Gorengan, Teh"
T-079,"Susu, Roti, Snack"
T-080,"Kopi, Gorengan, Air Mineral"
T-081,"Kopi, Gorengan, Snack"
T-082,"Teh, Snack"
T-083,"Mie Instan, Telur, Air Mineral"
T-084,"Kopi, Susu, Roti"
T-085,"Teh, Gorengan, Snack"
T-086,"Kopi, Gorengan"
T-087,"Air Mineral, Snack"
T-088,"Kopi, Gorengan, Roti"
T-089,"Teh, Roti, Susu"
T-090,"Mie Instan, Telur"
T-091,"Kopi, Gorengan, Snack"
T-092,"Teh, Gorengan, Snack"
T-093,"Kopi, Air Mineral"
T-094,"Susu, Roti, Snack"
T-095,"Kopi, Gorengan"
T-096,"Mie Instan, Telur, Teh"
T-097,"Kopi, Gorengan, Air Mineral"
T-098,"Teh, Snack"
T-099,"Kopi, Susu, Roti"
T-100,"Kopi, Gorengan, Snack"
