No_Nota,Daftar_Belanjaan
W-01,"Kopi, Gorengan"
W-02,"Teh, Snack"
W-03,"Kopi, Gorengan, Snack"
W-04,"Susu, Gorengan"
W-05,"Kopi, Susu"
W-06,"Teh, Gorengan"
W-07,"Kopi, Gorengan, Snack"
W-08,"Susu, Snack"
W-09,"Kopi, Teh, Gorengan"
W-10,"Teh, Snack"
W-11,"Kopi, Gorengan"
W-12,"Susu, Gorengan, Snack"
W-13,"Kopi, Snack"
W-14,"Teh, Gorengan"
W-15,"Kopi, Gorengan, Snack"
W-16,"Susu, Snack"
W-17,"Kopi, Gorengan"
W-18,"Teh, Gorengan, Snack"
W-19,"Kopi, Susu, Gorengan"
W-20,"Teh, Snack"
W-21,"Kopi, Gorengan"
W-22,"Susu, Gorengan"
W-23,"Kopi, Snack"
W-24,"Teh, Gorengan, Snack"
W-25,"Kopi, Gorengan"
