bps_kode_provinsi,bps_nama_provinsi,tahun,indeks_pembangunan_manusia,satuan
11,Aceh,2013,68.3,Point
12,Sumatra Utara,2013,68.36,Point
13,Sumatra Barat,2013,68.91,Point
14,Riau,2013,69.91,Point
15,Jambi,2013,67.76,Point
16,Sumatra Selatan,2013,66.16,Point
17,Bengkulu,2013,67.5,Point
18,Lampung,2013,65.73,Point
19,Kepulauan Bangka Belitung,2013,67.92,Point
21,Kepulauan Riau,2013,73.02,Point
31,DKI Jakarta,2013,78.08,Point
32,Jawa Barat,2013,68.25,Point
33,Jawa Tengah,2013,68.02,Point
34,DI Yogyakarta,2013,76.44,Point
35,Jawa Timur,2013,67.55,Point
36,Banten,2013,69.47,Point
51,Bali,2013,72.09,Point
52,Nusa Tenggara Barat,2013,63.76,Point
53,Nusa Tenggara Timur,2013,61.68,Point
61,Kalimantan Barat,2013,64.3,Point
62,Kalimantan Tengah,2013,67.41,Point
63,Kalimantan Selatan,2013,67.17,Point
64,Kalimantan Timur,2013,73.21,Point
65,Kalimantan Utara,2013,67.99,Point
71,Sulawesi Utara,2013,69.49,Point
72,Sulawesi Tengah,2013,65.79,Point
73,Sulawesi Selatan,2013,67.92,Point
74,Sulawesi Tenggara,2013,67.55,Point
75,Gorontalo,2013,64.7,Point
76,Sulawesi Barat,2013,61.53,Point
81,Maluku,2013,66.09,Point
82,Maluku Utara,2013,64.78,Point
91,Papua Barat,2013,60.91,Point
92,Papua Barat Daya,2013,0.0,Point
94,Papua,2013,56.25,Point
93,Papua Selatan,2013,0.0,Point
94,Papua Tengah,2013,0.0,Point
95,Papua Pegunungan,2013,0.0,Point
11,Aceh,2014,68.81,Point
12,Sumatra Utara,2014,68.87,Point
13,Sumatra Barat,2014,69.36,Point
14,Riau,2014,70.33,Point
15,Jambi,2014,68.24,Point
16,Sumatra Selatan,2014,66.75,Point
17,Bengkulu,2014,68.06,Point
18,Lampung,2014,66.42,Point
19,Kepulauan Bangka Belitung,2014,68.27,Point
21,Kepulauan Riau,2014,73.4,Point
31,DKI Jakarta,2014,78.39,Point
32,Jawa Barat,2014,68.8,Point
33,Jawa Tengah,2014,68.78,Point
34,DI Yogyakarta,2014,76.81,Point
35,Jawa Timur,2014,68.14,Point
36,Banten,2014,69.89,Point
51,Bali,2014,72.48,Point
52,Nusa Tenggara Barat,2014,64.31,Point
53,Nusa Tenggara Timur,2014,62.26,Point
61,Kalimantan Barat,2014,64.89,Point
62,Kalimantan Tengah,2014,67.77,Point
63,Kalimantan Selatan,2014,67.63,Point
64,Kalimantan Timur,2014,73.82,Point
65,Kalimantan Utara,2014,68.64,Point
71,Sulawesi Utara,2014,69.96,Point
72,Sulawesi Tengah,2014,66.43,Point
73,Sulawesi Selatan,2014,68.49,Point
74,Sulawesi Tenggara,2014,68.07,Point
75,Gorontalo,2014,65.17,Point
76,Sulawesi Barat,2014,62.24,Point
81,Maluku,2014,66.74,Point
82,Maluku Utara,2014,65.18,Point
91,Papua Barat,2014,61.28,Point
92,Papua Barat Daya,2014,0.0,Point
94,Papua,2014,56.75,Point
93,Papua Selatan,2014,0.0,Point
