bps_kode_provinsi,bps_nama_provinsi,tahun,persentase,satuan
11,Aceh,2013,17.72,persentase
12,SumatraUtara,2013,10.39,persentase
13,SumatraBarat,2013,7.56,persentase
14,Riau,2013,8.42,persentase
15,Jambi,2013,8.41,persentase
16,SumatraSelatan,2013,14.06,persentase
17,Bengkulu,2013,17.75,persentase
18,Lampung,2013,14.39,persentase
19,KepulauanBangkaBelitung,2013,5.25,persentase
21,KepulauanRiau,2013,6.35,persentase
31,DKIJakarta,2013,3.72,persentase
32,JawaBarat,2013,9.61,persentase
33,JawaTengah,2013,14.44,persentase
34,DIYogyakarta,2013,15.03,persentase
35,JawaTimur,2013,12.73,persentase
36,Banten,2013,5.89,persentase
51,Bali,2013,4.49,persentase
52,NusaTenggaraBarat,2013,17.25,persentase
53,NusaTenggaraTimur,2013,20.24,persentase
61,KalimantanBarat,2013,8.74,persentase
62,KalimantanTengah,2013,6.23,persentase
63,KalimantanSelatan,2013,4.76,persentase
64,KalimantanTimur,2013,6.38,persentase
65,KalimantanUtara,2013,,persentase
71,SulawesiUtara,2013,8.5,persentase
72,SulawesiTengah,2013,14.32,persentase
73,SulawesiSelatan,2013,10.32,persentase
74,SulawesiTenggara,2013,13.73,persentase
75,Gorontalo,2013,18.02,persentase
76,SulawesiBarat,2013,12.23,persentase
81,Maluku,2013,19.27,persentase
82,MalukuUtara,2013,7.64,persentase
91,PapuaBarat,2013,27.14,persentase
94,Papua,2013,31.52,persentase
11,Aceh,2014,16.98,persentase
12,SumatraUtara,2014,9.85,persentase
13,SumatraBarat,2014,6.89,persentase
14,Riau,2014,7.99,persentase
15,Jambi,2014,8.39,persentase
16,SumatraSelatan,2014,13.62,persentase
17,Bengkulu,2014,17.09,persentase
18,Lampung,2014,14.21,persentase
19,KepulauanBangkaBelitung,2014,4.97,persentase
21,KepulauanRiau,2014,6.4,persentase
31,DKIJakarta,2014,4.09,persentase
32,JawaBarat,2014,9.18,persentase
33,JawaTengah,2014,13.58,persentase
34,DIYogyakarta,2014,14.55,persentase
35,JawaTimur,2014,12.28,persentase
36,Banten,2014,5.51,persentase
51,Bali,2014,4.76,persentase
52,NusaTenggaraBarat,2014,17.05,persentase
53,NusaTenggaraTimur,2014,19.6,persentase
61,KalimantanBarat,2014,8.47,persentase
62,KalimantanTengah,2014,6.07,persentase
63,KalimantanSelatan,2014,4.81,persentase
64,KalimantanTimur,2014,6.31,persentase
65,KalimantanUtara,2014,,persentase
71,SulawesiUtara,2014,8.26,persentase
72,SulawesiTengah,2014,13.61,persentase
73,SulawesiSelatan,2014,9.54,persentase
74,SulawesiTenggara,2014,12.77,persentase
75,Gorontalo,2014,17.41,persentase
76,SulawesiBarat,2014,12.05,persentase
81,Maluku,2014,18.44,persentase
82,MalukuUtara,2014,7.41,persentase
91,PapuaBarat,2014,26.26,persentase
94,Papua,2014,27.8,persentase
11,Aceh,2015,17.11,persentase
12,SumatraUtara,2015,10.79,persentase
13,SumatraBarat,2015,6.71,persentase
14,Riau,2015,8.82,persentase
15,Jambi,2015,9.12,persentase
16,SumatraSelatan,2015,13.77,persentase
17,Bengkulu,2015,17.16,persentase
18,Lampung,2015,13.53,persentase
19,KepulauanBangkaBelitung,2015,4.83,persentase
21,KepulauanRiau,2015,5.78,persentase
31,DKIJakarta,2015,3.61,persentase
32,JawaBarat,2015,9.57,persentase
33,JawaTengah,2015,13.32,persentase
34,DIYogyakarta,2015,13.16,persentase
35,JawaTimur,2015,12.28,persentase
36,Banten,2015,5.75,persentase
51,Bali,2015,4.55,persentase
52,NusaTenggaraBarat,2015,16.54,persentase
53,NusaTenggaraTimur,2015,22.58,persentase
61,KalimantanBarat,2015,8.66,persentase
62,KalimantanTengah,2015,5.91,persentase
63,KalimantanSelatan,2015,4.72,persentase
