Provinsi,Tahun,IPM,Kemiskinan,TPT,Cluster,Kategori
ACEH,2016,70.0,16.43,6.17,0,Kesejahteraan Relatif Tinggi
BALI,2016,73.65,4.25,4.8,0,Kesejahteraan Relatif Tinggi
BANTEN,2016,70.96,5.36,8.09,2,Kesejahteraan Relatif Sedang
BENGKULU,2016,69.33,17.03,3.59,1,Kesejahteraan Relatif Rendah
DI YOGYAKARTA,2016,78.38,13.34,4.06,0,Kesejahteraan Relatif Tinggi
DKI JAKARTA,2016,79.6,3.75,7.18,2,Kesejahteraan Relatif Sedang
GORONTALO,2016,66.29,17.63,2.58,1,Kesejahteraan Relatif Rendah
JAMBI,2016,69.62,8.37,4.59,0,Kesejahteraan Relatif Tinggi
JAWA BARAT,2016,70.05,8.77,8.31,2,Kesejahteraan Relatif Sedang
JAWA TENGAH,2016,69.98,13.19,5.57,0,Kesejahteraan Relatif Tinggi
JAWA TIMUR,2016,69.74,11.85,5.49,0,Kesejahteraan Relatif Tinggi
KALIMANTAN BARAT,2016,65.88,8.01,5.11,0,Kesejahteraan Relatif Tinggi
KALIMANTAN SELATAN,2016,69.05,4.52,4.74,0,Kesejahteraan Relatif Tinggi
KALIMANTAN TENGAH,2016,69.13,5.36,4.26,0,Kesejahteraan Relatif Tinggi
KALIMANTAN TIMUR,2016,74.59,6.0,5.71,2,Kesejahteraan Relatif Sedang
KALIMANTAN UTARA,2016,69.2,6.99,4.33,0,Kesejahteraan Relatif Tinggi
KEPULAUAN BANGKA BELITUNG,2016,69.55,5.04,4.77,0,Kesejahteraan Relatif Tinggi
KEPULAUAN RIAU,2016,73.99,5.84,8.23,2,Kesejahteraan Relatif Sedang
LAMPUNG,2016,67.65,13.86,4.52,1,Kesejahteraan Relatif Rendah
MALUKU,2016,67.6,19.26,6.88,1,Kesejahteraan Relatif Rendah
MALUKU UTARA,2016,66.63,6.41,3.98,0,Kesejahteraan Relatif Tinggi
NUSA TENGGARA BARAT,2016,65.81,16.02,2.89,1,Kesejahteraan Relatif Rendah
NUSA TENGGARA TIMUR,2016,63.13,22.01,3.54,1,Kesejahteraan Relatif Rendah
PAPUA,2016,58.05,28.4,2.83,1,Kesejahteraan Relatif Rendah
PAPUA BARAT,2016,62.21,24.88,5.37,1,Kesejahteraan Relatif Rendah
RIAU,2016,71.2,7.67,4.37,0,Kesejahteraan Relatif Tinggi
SULAWESI BARAT,2016,63.6,11.19,2.34,1,Kesejahteraan Relatif Rendah
SULAWESI SELATAN,2016,69.76,9.72,4.51,0,Kesejahteraan Relatif Tinggi
SULAWESI TENGAH,2016,67.47,14.09,3.0,1,Kesejahteraan Relatif Rendah
SULAWESI TENGGARA,2016,69.31,12.77,3.36,0,Kesejahteraan Relatif Tinggi
SULAWESI UTARA,2016,71.05,8.2,6.61,2,Kesejahteraan Relatif Sedang
