Frekuensi Olahraga (kali/minggu),Denyut Jantung Istirahat (bpm)
1,85
4,75
2,74
1,81
0,82
3,80
0,83
6,73
4,80
2,77
5,68
3,73
1,79
5,71
4,79
7,54
6,74
4,70
5,63
1,85
3,73
3,79
4,75
5,74
5,77
4,71
1,83
2,79
3,79
6,69
3,72
0,88
0,85
4,75
5,77
7,66
7,70
2,83
4,70
6,61
5,73
7,74
0,83
2,77
1,82
7,56
0,87
1,82
4,68
1,82
2,76
4,72
2,74
4,70
3,78
2,80
0,84
7,68
5,68
0,86
1,85
7,74
2,83
7,55
4,72
6,74
3,72
6,63
5,71
7,69
3,78
0,86
3,71
0,87
0,82
0,82
3,78
7,72
2,78
7,74
7,62
1,85
6,67
6,70
0,87
1,83
5,73
3,80
7,71
2,79
3,79
1,85
0,88
3,79
7,62
6,71
6,73
4,72
6,63
7,69
