Lokasi,pH,TDS (mg/L),Kekeruhan (NTU),DO (mg/L),BOD (mg/L),COD (mg/L),Suhu (C)
Sumber Mata Air 001,7.55,47,1.13,7.56,1.11,8,25.44
Air Galon Isi Ulang 002,6.86,71,0.34,7.33,0.65,2,24.6
Reservoir PDAM 003,7.42,207,1.51,7.34,1.73,5,27.42
Sumur Warga 004,7.13,296,2.59,7.31,2.08,10,25.84
Sungai Hulu 005,7.48,193,5.94,7.51,2.07,22,25.32
Sungai Tengah 006,7.0,469,13.04,6.52,4.98,37,26.16
Sungai Hilir 007,6.43,466,11.44,4.04,5.56,42,29.22
Irigasi Sawah 008,6.73,393,11.77,4.39,8.68,48,28.83
Kolam Budidaya 009,7.01,592,8.61,4.71,9.44,49,29.17
Danau Kota 010,7.45,587,16.75,4.73,3.14,30,27.8
Kanal Perkotaan 011,6.21,954,39.03,2.69,14.9,75,31.7
Drainase Pasar 012,6.36,718,28.41,2.92,13.89,102,32.14
Saluran Rumah Tangga 013,6.2,747,54.92,2.52,13.09,78,29.44
Outlet Industri Ringan 014,7.38,1334,22.98,2.18,11.82,140,31.88
Muara Sungai 015,8.27,1675,8.23,5.8,8.09,57,29.07
Pantai Dekat Muara 016,8.11,1223,10.09,6.0,5.82,50,29.05
Kolam Taman 017,7.35,282,14.95,6.54,3.19,32,28.33
Air Keran Sekolah 018,6.92,265,3.11,7.4,1.75,5,26.13
Embung Desa 019,6.62,593,20.06,5.91,4.69,22,30.07
Drainase Terminal 020,6.85,647,41.04,1.54,22.65,130,30.01
Sumber Mata Air 021,7.43,97,1.11,8.6,0.77,4,24.28
Air Galon Isi Ulang 022,7.31,52,0.77,8.49,0.78,5,25.55
Reservoir PDAM 023,7.0,156,1.88,7.34,0.92,7,25.21
Sumur Warga 024,7.07,258,7.84,7.12,1.38,12,27.84
Sungai Hulu 025,6.97,112,6.65,7.23,1.95,19,26.83
Sungai Tengah 026,6.67,249,10.6,5.65,4.51,38,28.36
Sungai Hilir 027,7.18,389,17.25,4.28,9.74,41,27.67
Irigasi Sawah 028,6.8,412,13.01,4.35,8.62,41,29.58
Kolam Budidaya 029,7.46,320,21.99,5.81,9.33,59,30.05
Danau Kota 030,6.88,444,8.6,5.12,3.26,32,29.96
Kanal Perkotaan 031,6.27,881,28.92,2.93,17.62,105,30.45
Drainase Pasar 032,6.62,660,29.71,3.74,17.37,100,31.62
Saluran Rumah Tangga 033,5.86,959,39.59,3.21,13.89,133,29.32
Outlet Industri Ringan 034,6.41,1176,29.56,2.66,9.2,131,30.61
Muara Sungai 035,7.85,1457,16.38,5.46,7.14,77,28.82
Pantai Dekat Muara 036,8.17,1363,9.54,6.48,3.2,30,31.01
Kolam Taman 037,6.97,363,15.98,6.79,2.29,20,27.3
Air Keran Sekolah 038,7.55,287,4.51,6.67,1.08,16,27.46
Embung Desa 039,7.21,615,16.46,4.02,7.49,31,29.32
Drainase Terminal 040,6.84,674,28.81,1.61,19.75,98,31.92
Sumber Mata Air 041,7.6,64,1.96,7.62,0.84,9,25.29
Air Galon Isi Ulang 042,6.86,71,0.72,7.01,0.89,6,24.79
Reservoir PDAM 043,7.49,208,2.17,6.42,0.71,13,27.71
Sumur Warga 044,6.99,464,5.58,5.7,1.53,14,28.65
Sungai Hulu 045,7.44,236,6.44,6.58,1.5,9,26.73
Sungai Tengah 046,7.3,342,13.07,5.11,6.5,41,29.42
Sungai Hilir 047,7.01,703,10.45,5.19,6.83,66,29.81
Irigasi Sawah 048,7.18,552,12.8,5.53,4.54,56,29.58
